iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"15,246,919,963.43"
Shares Outstanding,"133,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.42","198.22","2,630,406.00","521,399,077.32","521,399,077.32","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.32","106.94","4,742,654.00","507,179,418.76","507,179,418.76","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","3.17","83.64","5,791,779.00","484,424,395.56","484,424,395.56","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.41","60.67","6,057,736.00","367,522,843.12","367,522,843.12","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.14","38.88","8,392,567.00","326,303,004.96","326,303,004.96","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.13","125.19","2,596,192.00","325,017,276.48","325,017,276.48","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.93","52.93","5,575,971.00","295,136,145.03","295,136,145.03","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","1.76","74.41","3,614,006.00","268,918,186.46","268,918,186.46","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.55","139.72","1,689,174.00","236,011,391.28","236,011,391.28","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"DWDP","DOWDUPONT INC","Equity","1.49","71.22","3,198,454.00","227,793,893.88","227,793,893.88","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.36","17.45","11,853,619.00","206,845,651.55","206,845,651.55","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.33","29.52","6,894,797.00","203,534,407.44","203,534,407.44","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.32","91.88","2,194,249.00","201,607,598.12","201,607,598.12","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.29","98.75","2,000,727.00","197,571,791.25","197,571,791.25","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.18","153.42","1,176,859.00","180,553,707.78","180,553,707.78","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.04","36.22","4,399,651.00","159,355,359.22","159,355,359.22","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.92","38.30","3,648,925.00","139,753,827.50","139,753,827.50","Information Technology","2198163","US17275R1023","NASDAQ"
"MRK","MERCK & CO INC","Equity","0.87","56.27","2,355,327.00","132,534,250.29","132,534,250.29","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.87","45.88","2,882,764.00","132,261,212.32","132,261,212.32","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.85","127.57","1,015,127.00","129,499,751.39","129,499,751.39","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.84","40.05","3,187,769.00","127,670,148.45","127,670,148.45","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.84","67.39","1,893,478.00","127,601,482.42","127,601,482.42","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.83","46.16","2,750,683.00","126,971,527.28","126,971,527.28","Information Technology","2463247","US4581401001","NASDAQ"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.80","254.76","479,491.00","122,155,127.16","122,155,127.16","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.78","119.92","991,374.00","118,885,570.08","118,885,570.08","Consumer Staples","2681511","US7134481081","NASDAQ"
"DIS","WALT DISNEY","Equity","0.77","107.51","1,094,132.00","117,630,131.32","117,630,131.32","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.76","53.58","2,154,892.00","115,459,113.36","115,459,113.36","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.73","105.65","1,061,476.00","112,144,939.40","112,144,939.40","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.73","186.12","597,304.00","111,170,220.48","111,170,220.48","Consumer Staples","2701271","US22160K1051","NASDAQ"
"CVS","CVS HEALTH CORP","Equity","0.66","72.50","1,384,622.00","100,385,095.00","100,385,095.00","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.65","52.47","1,902,793.00","99,839,548.71","99,839,548.71","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.64","91.47","1,064,241.00","97,346,124.27","97,346,124.27","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.63","47.28","2,040,544.00","96,476,920.32","96,476,920.32","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.61","144.29","650,357.00","93,840,011.53","93,840,011.53","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.61","146.13","634,528.00","92,723,576.64","92,723,576.64","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.59","54.89","1,634,117.00","89,696,682.13","89,696,682.13","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.57","42.80","2,042,629.00","87,424,521.20","87,424,521.20","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.56","72.62","1,186,727.00","86,180,114.74","86,180,114.74","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","0.56","80.75","1,054,599.00","85,158,869.25","85,158,869.25","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.55","64.02","1,309,741.00","83,849,618.82","83,849,618.82","Information Technology","2714923","US7475251036","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.54","71.41","1,147,632.00","81,952,401.12","81,952,401.12","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.53","84.11","956,643.00","80,463,242.73","80,463,242.73","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.51","92.82","836,710.00","77,663,422.20","77,663,422.20","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.50","73.66","1,045,991.00","77,047,697.06","77,047,697.06","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.49","53.86","1,399,703.00","75,388,003.58","75,388,003.58","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.49","163.58","454,599.00","74,363,304.42","74,363,304.42","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.48","59.58","1,228,755.00","73,209,222.90","73,209,222.90","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.48","50.56","1,438,359.00","72,723,431.04","72,723,431.04","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.47","40.99","1,747,359.00","71,624,245.41","71,624,245.41","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.46","173.90","406,812.00","70,744,606.80","70,744,606.80","Health Care","2023607","US0311621009","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.45","134.10","516,459.00","69,257,151.90","69,257,151.90","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.44","114.98","579,558.00","66,637,578.84","66,637,578.84","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.44","12.49","5,332,770.00","66,606,297.30","66,606,297.30","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.43","99.58","662,586.00","65,980,313.88","65,980,313.88","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.43","48.09","1,371,830.00","65,971,304.70","65,971,304.70","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.43","153.36","426,942.00","65,475,825.12","65,475,825.12","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.42","77.76","816,087.00","63,458,925.12","63,458,925.12","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"CAT","CATERPILLAR INC","Equity","0.40","157.58","390,337.00","61,509,304.46","61,509,304.46","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.39","101.15","587,297.00","59,405,091.55","59,405,091.55","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.38","48.87","1,192,655.00","58,285,049.85","58,285,049.85","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.38","74.64","774,155.00","57,782,929.20","57,782,929.20","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.37","119.15","478,950.00","57,066,892.50","57,066,892.50","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.36","107.91","513,727.00","55,436,280.57","55,436,280.57","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","0.36","91.91","598,122.00","54,973,393.02","54,973,393.02","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.35","49.72","1,078,351.00","53,615,611.72","53,615,611.72","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.34","39.41","1,312,310.00","51,718,137.10","51,718,137.10","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.33","135.64","374,107.00","50,743,873.48","50,743,873.48","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.33","61.28","827,743.00","50,724,091.04","50,724,091.04","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.33","56.00","896,577.00","50,208,312.00","50,208,312.00","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.33","34.53","1,440,690.00","49,747,025.70","49,747,025.70","Consumer Discretionary","BBM4S68","US90130A1016","NASDAQ"
"STT","STATE STREET CORP","Equity","0.32","97.61","506,880.00","49,476,556.80","49,476,556.80","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.32","73.57","672,276.00","49,459,345.32","49,459,345.32","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.32","156.19","315,058.00","49,208,909.02","49,208,909.02","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.32","110.32","442,121.00","48,774,788.72","48,774,788.72","Materials","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.32","65.25","742,996.00","48,480,489.00","48,480,489.00","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.32","248.07","195,273.00","48,441,373.11","48,441,373.11","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.32","38.11","1,264,951.00","48,207,282.61","48,207,282.61","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.31","75.45","636,138.00","47,996,612.10","47,996,612.10","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.31","21.01","2,283,014.00","47,966,124.14","47,966,124.14","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.31","153.09","312,545.00","47,847,514.05","47,847,514.05","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.31","79.01","602,241.00","47,583,061.41","47,583,061.41","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.31","18.07","2,625,188.00","47,437,147.16","47,437,147.16","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.31","87.78","537,387.00","47,171,830.86","47,171,830.86","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.29","71.64","624,930.00","44,769,985.20","44,769,985.20","Health Care","2369174","US3755581036","NASDAQ"
"MCK","MCKESSON CORP","Equity","0.29","155.95","284,951.00","44,438,108.45","44,438,108.45","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.29","81.06","545,368.00","44,207,530.08","44,207,530.08","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.29","65.98","667,590.00","44,047,588.20","44,047,588.20","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.29","84.46","516,484.00","43,622,238.64","43,622,238.64","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.28","64.59","650,672.00","42,026,904.48","42,026,904.48","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.27","321.05","129,568.00","41,597,806.40","41,597,806.40","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.26","57.43","700,128.00","40,208,351.04","40,208,351.04","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"PXD","PIONEER NATURAL RESOURCE","Equity","0.26","172.85","232,596.00","40,204,218.60","40,204,218.60","Energy","2690830","US7237871071","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.26","180.39","222,866.00","40,202,797.74","40,202,797.74","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"APC","ANADARKO PETROLEUM CORP","Equity","0.26","53.64","747,888.00","40,116,712.32","40,116,712.32","Energy","2032380","US0325111070","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.26","60.73","655,239.00","39,792,664.47","39,792,664.47","Consumer Staples","2868165","US8718291078","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.26","99.31","393,895.00","39,117,712.45","39,117,712.45","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.25","38.61","1,005,522.00","38,823,204.42","38,823,204.42","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.25","203.45","189,778.00","38,610,334.10","38,610,334.10","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.25","76.92","496,700.00","38,206,164.00","38,206,164.00","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"CMI","CUMMINS INC","Equity","0.25","176.64","213,248.00","37,668,126.72","37,668,126.72","Industrials","2240202","US2310211063","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.24","171.74","216,683.00","37,213,138.42","37,213,138.42","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.24","225.01","165,220.00","37,176,152.20","37,176,152.20","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.24","62.55","592,671.00","37,071,571.05","37,071,571.05","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.24","106.92","343,188.00","36,693,660.96","36,693,660.96","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.24","76.46","478,340.00","36,573,876.40","36,573,876.40","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.24","35.26","1,031,755.00","36,379,681.30","36,379,681.30","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.24","249.54","144,996.00","36,182,301.84","36,182,301.84","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.24","69.69","517,591.00","36,070,916.79","36,070,916.79","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","0.24","84.95","423,819.00","36,003,424.05","36,003,424.05","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.23","513.71","69,483.00","35,694,111.93","35,694,111.93","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.23","51.50","691,684.00","35,621,726.00","35,621,726.00","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.23","170.99","205,735.00","35,178,627.65","35,178,627.65","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"FCX","FREEPORT MCMORAN INC","Equity","0.23","18.96","1,840,166.00","34,889,547.36","34,889,547.36","Materials","2352118","US35671D8570","New York Stock Exchange Inc."
"WMB","WILLIAMS INC","Equity","0.23","30.49","1,130,053.00","34,455,315.97","34,455,315.97","Energy","2967181","US9694571004","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.22","71.08","480,610.00","34,161,758.80","34,161,758.80","Industrials","2665861","US6937181088","NASDAQ"
"LOW","LOWES COMPANIES INC","Equity","0.22","92.94","364,200.00","33,848,748.00","33,848,748.00","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.22","116.78","288,241.00","33,660,783.98","33,660,783.98","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.22","48.11","694,042.00","33,390,360.62","33,390,360.62","Utilities","2614807","US98389B1008","NASDAQ"
"KR","KROGER","Equity","0.22","27.45","1,215,856.00","33,375,247.20","33,375,247.20","Consumer Staples","2497406","US5010441013","New York Stock Exchange Inc."
"TSN","TYSON FOODS INC CLASS A","Equity","0.22","81.07","406,775.00","32,977,249.25","32,977,249.25","Consumer Staples","2909730","US9024941034","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.21","57.94","564,376.00","32,699,945.44","32,699,945.44","Materials","2465254","US4601461035","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.21","120.66","269,255.00","32,488,308.30","32,488,308.30","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"HCN","WELLTOWER INC","Equity","0.21","63.77","506,230.00","32,282,287.10","32,282,287.10","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.21","79.53","404,301.00","32,154,058.53","32,154,058.53","Information Technology","2954699","US9581021055","NASDAQ"
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.21","63.77","502,308.00","32,032,181.16","32,032,181.16","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.21","44.83","700,960.00","31,424,036.80","31,424,036.80","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.21","14.36","2,180,158.00","31,307,068.88","31,307,068.88","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.20","164.08","190,666.00","31,284,477.28","31,284,477.28","Materials","2011602","US0091581068","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.20","144.90","214,605.00","31,096,264.50","31,096,264.50","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"MYL","MYLAN NV","Equity","0.20","42.31","732,968.00","31,011,876.08","31,011,876.08","Health Care","BVFMFG8","NL0011031208","NASDAQ"
"DE","DEERE","Equity","0.20","156.51","196,648.00","30,777,378.48","30,777,378.48","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"ADM","ARCHER DANIELS MIDLAND","Equity","0.20","40.08","764,424.00","30,638,113.92","30,638,113.92","Consumer Staples","2047317","US0394831020","New York Stock Exchange Inc."
"CXO","CONCHO RESOURCES INC","Equity","0.20","150.22","203,269.00","30,535,069.18","30,535,069.18","Energy","B1YWRK7","US20605P1012","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.20","59.29","504,952.00","29,938,604.08","29,938,604.08","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"DVN","DEVON ENERGY CORP","Equity","0.19","41.40","718,306.00","29,737,868.40","29,737,868.40","Energy","2480677","US25179M1036","New York Stock Exchange Inc."
"KEY","KEYCORP","Equity","0.19","20.17","1,469,929.00","29,648,467.93","29,648,467.93","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.19","30.34","964,109.00","29,251,067.06","29,251,067.06","Financials","2336747","US3167731005","NASDAQ"
"VTR","VENTAS REIT INC","Equity","0.19","60.01","486,811.00","29,213,528.11","29,213,528.11","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.19","189.88","153,278.00","29,104,426.64","29,104,426.64","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.19","154.68","187,820.00","29,051,997.60","29,051,997.60","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.19","187.85","154,111.00","28,949,751.35","28,949,751.35","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
