iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"15,782,279,928.62"
Shares Outstanding,"132,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.56","214.38","2,617,235.00","561,082,839.30","561,082,839.30","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.46","115.67","4,718,923.00","545,837,823.41","545,837,823.41","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","3.19","87.30","5,762,798.00","503,092,265.40","503,092,265.40","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.51","65.78","6,027,396.00","396,482,108.88","396,482,108.88","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.05","125.35","2,583,201.00","323,804,245.35","323,804,245.35","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.98","37.45","8,350,559.00","312,728,434.55","312,728,434.55","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.90","54.07","5,548,032.00","299,982,090.24","299,982,090.24","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","1.79","78.48","3,595,892.00","282,205,604.16","282,205,604.16","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"DWDP","DOWDUPONT INC","Equity","1.52","75.58","3,182,452.00","240,529,722.16","240,529,722.16","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.47","138.19","1,680,725.00","232,259,387.75","232,259,387.75","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.39","32.00","6,860,280.00","219,528,960.00","219,528,960.00","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","1.34","106.60","1,990,696.00","212,208,193.60","212,208,193.60","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.21","163.70","1,170,954.00","191,685,169.80","191,685,169.80","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.21","16.17","11,794,236.00","190,712,796.12","190,712,796.12","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.19","86.34","2,183,259.00","188,502,582.06","188,502,582.06","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.03","37.04","4,377,626.00","162,147,267.04","162,147,267.04","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.96","41.54","3,630,648.00","150,817,117.92","150,817,117.92","Information Technology","2198163","US17275R1023","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.88","138.01","1,010,061.00","139,398,518.61","139,398,518.61","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.88","59.25","2,343,537.00","138,854,567.25","138,854,567.25","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.88","73.58","1,883,976.00","138,622,954.08","138,622,954.08","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.86","47.59","2,868,342.00","136,504,395.78","136,504,395.78","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.85","42.53","3,171,808.00","134,896,994.24","134,896,994.24","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.83","48.14","2,736,911.00","131,754,895.54","131,754,895.54","Information Technology","2463247","US4581401001","NASDAQ"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.81","267.89","477,099.00","127,810,051.11","127,810,051.11","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.78","57.14","2,144,110.00","122,514,445.40","122,514,445.40","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.75","120.30","986,432.00","118,667,769.60","118,667,769.60","Consumer Staples","2681511","US7134481081","NASDAQ"
"DIS","WALT DISNEY","Equity","0.75","108.67","1,088,648.00","118,303,378.16","118,303,378.16","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.73","194.87","594,324.00","115,815,917.88","115,815,917.88","Consumer Staples","2701271","US22160K1051","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.72","107.23","1,056,145.00","113,250,428.35","113,250,428.35","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.69","78.69","1,377,708.00","108,411,842.52","108,411,842.52","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.68","56.55","1,893,268.00","107,064,305.40","107,064,305.40","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.66","51.59","2,030,306.00","104,743,486.54","104,743,486.54","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.65","158.02","647,102.00","102,255,058.04","102,255,058.04","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.64","95.35","1,058,896.00","100,965,733.60","100,965,733.60","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.62","156.15","631,357.00","98,586,395.55","98,586,395.55","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.61","58.81","1,625,920.00","95,620,355.20","95,620,355.20","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.57","44.40","2,032,416.00","90,239,270.40","90,239,270.40","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","0.57","85.89","1,049,327.00","90,126,696.03","90,126,696.03","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.56","68.25","1,303,200.00","88,943,400.00","88,943,400.00","Information Technology","2714923","US7475251036","NASDAQ"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.56","75.26","1,180,806.00","88,867,459.56","88,867,459.56","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"DHR","DANAHER CORP","Equity","0.53","101.28","832,504.00","84,316,005.12","84,316,005.12","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.52","180.26","452,317.00","81,534,662.42","81,534,662.42","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.51","70.34","1,141,877.00","80,319,628.18","80,319,628.18","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.50","56.70","1,392,697.00","78,965,919.90","78,965,919.90","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.50","63.92","1,222,612.00","78,149,359.04","78,149,359.04","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.49","74.97","1,040,748.00","78,024,877.56","78,024,877.56","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.48","186.05","404,776.00","75,308,574.80","75,308,574.80","Health Care","2023607","US0311621009","NASDAQ"
"DUK","DUKE ENERGY CORP","Equity","0.47","78.50","951,952.00","74,728,232.00","74,728,232.00","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.47","42.41","1,738,710.00","73,738,691.10","73,738,691.10","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.44","48.07","1,431,136.00","68,794,707.52","68,794,707.52","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.43","133.50","513,981.00","68,616,463.50","68,616,463.50","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.43","103.96","659,420.00","68,553,303.20","68,553,303.20","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.43","118.82","576,725.00","68,526,464.50","68,526,464.50","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.43","159.67","424,904.00","67,844,421.68","67,844,421.68","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.40","53.70","1,187,131.00","63,748,934.70","63,748,934.70","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.40","78.39","812,354.00","63,680,430.06","63,680,430.06","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"CAT","CATERPILLAR INC","Equity","0.40","162.78","388,558.00","63,249,471.24","63,249,471.24","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.39","45.11","1,365,758.00","61,609,343.38","61,609,343.38","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.39","79.18","770,638.00","61,019,116.84","61,019,116.84","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.38","127.32","476,787.00","60,704,520.84","60,704,520.84","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.38","102.40","584,687.00","59,871,948.80","59,871,948.80","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.38","55.19","1,073,613.00","59,252,701.47","59,252,701.47","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.37","115.00","511,466.00","58,818,590.00","58,818,590.00","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.37","10.97","5,309,441.00","58,244,567.77","58,244,567.77","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","0.36","95.97","595,544.00","57,154,357.68","57,154,357.68","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.35","149.92","372,533.00","55,850,147.36","55,850,147.36","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.35","75.22","739,819.00","55,649,185.18","55,649,185.18","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.35","110.17","504,737.00","55,606,875.29","55,606,875.29","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.35","281.83","194,442.00","54,799,588.86","54,799,588.86","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.34","23.32","2,273,597.00","53,020,282.04","53,020,282.04","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.34","36.90","1,434,641.00","52,938,252.90","52,938,252.90","Consumer Discretionary","BBM4S68","US90130A1016","NASDAQ"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.33","119.84","440,324.00","52,768,428.16","52,768,428.16","Materials","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.33","83.80","622,305.00","52,149,159.00","52,149,159.00","Health Care","2369174","US3755581036","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.33","62.60","824,382.00","51,606,313.20","51,606,313.20","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.32","56.77","893,112.00","50,701,968.24","50,701,968.24","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.32","83.97","599,855.00","50,369,824.35","50,369,824.35","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.32","38.51","1,307,218.00","50,340,965.18","50,340,965.18","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
