iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"14,859,877,023.74"
Shares Outstanding,"132,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JPM","JPMORGAN CHASE & CO","Equity","3.65","115.50","4,704,715.00","543,394,582.50","543,394,582.50","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.64","207.20","2,609,355.00","540,658,356.00","540,658,356.00","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","2.93","75.74","5,745,446.00","435,160,080.04","435,160,080.04","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.36","58.41","6,009,252.00","351,000,409.32","351,000,409.32","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.03","36.30","8,325,415.00","302,212,564.50","302,212,564.50","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.94","111.92","2,575,425.00","288,241,566.00","288,241,566.00","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","1.82","75.49","3,585,068.00","270,636,783.32","270,636,783.32","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.78","47.74","5,531,328.00","264,065,598.72","264,065,598.72","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"DWDP","DOWDUPONT INC","Equity","1.50","70.30","3,172,868.00","223,052,620.40","223,052,620.40","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.48","32.10","6,839,624.00","219,551,930.40","219,551,930.40","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.46","129.88","1,675,661.00","217,634,850.68","217,634,850.68","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.22","155.83","1,167,426.00","181,919,993.58","181,919,993.58","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","1.20","90.01","1,984,704.00","178,643,207.04","178,643,207.04","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.15","78.52","2,176,683.00","170,913,149.16","170,913,149.16","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.12","14.11","11,758,724.00","165,915,595.64","165,915,595.64","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.09","44.78","3,619,720.00","162,091,061.60","162,091,061.60","Information Technology","2198163","US17275R1023","NASDAQ"
"PFE","PFIZER INC","Equity","1.07","36.31","4,364,442.00","158,472,889.02","158,472,889.02","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.91","134.74","1,007,021.00","135,686,009.54","135,686,009.54","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.90","49.29","2,728,671.00","134,496,193.59","134,496,193.59","Information Technology","2463247","US4581401001","NASDAQ"
"MRK","MERCK & CO INC","Equity","0.85","54.22","2,336,481.00","126,683,999.82","126,683,999.82","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.84","262.93","475,659.00","125,065,020.87","125,065,020.87","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.83","43.22","2,859,702.00","123,596,320.44","123,596,320.44","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.83","65.64","1,878,304.00","123,291,874.56","123,291,874.56","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.78","54.36","2,137,654.00","116,202,871.44","116,202,871.44","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.77","36.21","3,162,256.00","114,505,289.76","114,505,289.76","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"COST","COSTCO WHOLESALE CORP","Equity","0.76","190.90","592,532.00","113,114,358.80","113,114,358.80","Consumer Staples","2701271","US22160K1051","NASDAQ"
"DIS","WALT DISNEY","Equity","0.75","103.16","1,085,368.00","111,966,562.88","111,966,562.88","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.73","103.55","1,052,969.00","109,034,939.95","109,034,939.95","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.73","109.73","983,464.00","107,915,504.72","107,915,504.72","Consumer Staples","2681511","US7134481081","NASDAQ"
"MS","MORGAN STANLEY","Equity","0.71","56.02","1,887,564.00","105,741,335.28","105,741,335.28","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.69","50.67","2,024,194.00","102,565,909.98","102,565,909.98","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.68","157.66","645,150.00","101,714,349.00","101,714,349.00","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.66","92.96","1,055,704.00","98,138,243.84","98,138,243.84","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.63","67.73","1,373,556.00","93,030,947.88","93,030,947.88","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.60","141.92","629,453.00","89,331,969.76","89,331,969.76","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.60","43.90","2,026,296.00","88,954,394.40","88,954,394.40","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.59","54.31","1,621,024.00","88,037,813.44","88,037,813.44","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.57","65.00","1,299,280.00","84,453,200.00","84,453,200.00","Information Technology","2714923","US7475251036","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","0.56","79.89","1,046,167.00","83,578,281.63","83,578,281.63","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.55","97.78","830,000.00","81,157,400.00","81,157,400.00","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.55","68.89","1,177,254.00","81,101,028.06","81,101,028.06","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.53","57.03","1,388,505.00","79,186,440.15","79,186,440.15","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.50","183.77","403,560.00","74,162,221.20","74,162,221.20","Health Care","2023607","US0311621009","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.48","62.95","1,138,437.00","71,664,609.15","71,664,609.15","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.48","75.34","949,088.00","71,504,289.92","71,504,289.92","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.47","57.34","1,218,932.00","69,893,560.88","69,893,560.88","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.47","154.22","450,957.00","69,546,588.54","69,546,588.54","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.46","39.35","1,733,478.00","68,212,359.30","68,212,359.30","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.46","65.60","1,037,612.00","68,067,347.20","68,067,347.20","Energy","2655408","US6745991058","New York Stock Exchange Inc."
