iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 29, 2018"
Total Net Assets,"14,616,646,150.76"
Shares Outstanding,"133,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.60","199.48","2,643,811.00","527,387,418.28","527,387,418.28","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.54","109.97","4,714,430.00","518,445,867.10","518,445,867.10","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","2.97","74.61","5,820,694.00","434,281,979.34","434,281,979.34","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.16","52.41","6,030,466.00","316,056,723.06","316,056,723.06","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.05","35.65","8,434,456.00","300,688,356.40","300,688,356.40","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.04","114.04","2,624,095.00","299,251,793.80","299,251,793.80","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.85","47.82","5,670,525.00","271,164,505.50","271,164,505.50","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","1.63","67.50","3,530,459.00","238,305,982.50","238,305,982.50","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.48","128.15","1,695,313.00","217,254,360.95","217,254,360.95","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.40","29.99","6,834,015.00","204,952,109.85","204,952,109.85","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"DWDP","DOWDUPONT INC","Equity","1.40","63.71","3,214,410.00","204,790,061.10","204,790,061.10","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","1.23","153.43","1,176,809.00","180,557,804.87","180,557,804.87","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","1.21","88.97","1,994,009.00","177,406,980.73","177,406,980.73","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.18","79.28","2,181,744.00","172,968,664.32","172,968,664.32","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.10","13.48","11,927,156.00","160,778,062.88","160,778,062.88","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.07","35.49","4,415,785.00","156,716,209.65","156,716,209.65","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.05","42.89","3,573,580.00","153,270,846.20","153,270,846.20","Information Technology","2198163","US17275R1023","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.98","52.08","2,764,404.00","143,970,160.32","143,970,160.32","Information Technology","2463247","US4581401001","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.88","125.82","1,021,750.00","128,556,585.00","128,556,585.00","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.87","54.47","2,333,340.00","127,097,029.80","127,097,029.80","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.86","43.43","2,900,709.00","125,977,791.87","125,977,791.87","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.84","64.78","1,901,096.00","123,152,998.88","123,152,998.88","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.83","251.86","485,310.00","122,230,176.60","122,230,176.60","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.78","188.43","603,187.00","113,658,526.41","113,658,526.41","Consumer Staples","2701271","US22160K1051","NASDAQ"
"DIS","WALT DISNEY","Equity","0.75","100.44","1,094,763.00","109,957,995.72","109,957,995.72","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.74","50.50","2,155,742.00","108,864,971.00","108,864,971.00","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.74","34.17","3,183,571.00","108,782,621.07","108,782,621.07","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"PEP","PEPSICO INC","Equity","0.74","109.15","996,325.00","108,748,873.75","108,748,873.75","Consumer Staples","2681511","US7134481081","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.72","99.40","1,066,756.00","106,035,546.40","106,035,546.40","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.70","53.96","1,895,312.00","102,271,035.52","102,271,035.52","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.69","94.58","1,071,272.00","101,320,905.76","101,320,905.76","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.67","151.24","647,820.00","97,976,296.80","97,976,296.80","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.65","59.29","1,613,514.00","95,665,245.06","95,665,245.06","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.64","45.75","2,034,078.00","93,059,068.50","93,059,068.50","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.60","136.77","637,514.00","87,192,789.78","87,192,789.78","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.59","62.21","1,393,639.00","86,698,282.19","86,698,282.19","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.58","41.73","2,043,131.00","85,259,856.63","85,259,856.63","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","0.58","80.22","1,061,164.00","85,126,576.08","85,126,576.08","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.56","97.91","843,254.00","82,562,999.14","82,562,999.14","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.52","65.47","1,170,346.00","76,622,552.62","76,622,552.62","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"AGN","ALLERGAN","Equity","0.52","168.29","453,744.00","76,360,577.76","76,360,577.76","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.51","77.47","961,706.00","74,503,363.82","74,503,363.82","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.50","55.41","1,321,822.00","73,242,157.02","73,242,157.02","Information Technology","2714923","US7475251036","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.49","62.32","1,148,680.00","71,585,737.60","71,585,737.60","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.49","51.53","1,387,079.00","71,476,180.87","71,476,180.87","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.48","134.43","519,041.00","69,774,681.63","69,774,681.63","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.47","64.96","1,051,061.00","68,276,922.56","68,276,922.56","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.46","54.42","1,234,884.00","67,202,387.28","67,202,387.28","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.45","45.89","1,424,028.00","65,348,644.92","65,348,644.92","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.44","170.48","376,495.00","64,184,867.60","64,184,867.60","Health Care","2023607","US0311621009","NASDAQ"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.44","95.82","667,996.00","64,007,376.72","64,007,376.72","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.43","36.34","1,734,616.00","63,035,945.44","63,035,945.44","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.42","44.66","1,384,893.00","61,849,321.38","61,849,321.38","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.42","144.51","423,533.00","61,204,753.83","61,204,753.83","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.41","103.55","579,686.00","60,026,485.30","60,026,485.30","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.41","11.08","5,360,817.00","59,397,852.36","59,397,852.36","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.40","147.38","394,053.00","58,075,531.14","58,075,531.14","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.38","46.94","1,198,611.00","56,262,800.34","56,262,800.34","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.38","52.04","1,067,859.00","55,571,382.36","55,571,382.36","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.38","95.92","576,731.00","55,320,037.52","55,320,037.52","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","0.38","92.77","595,042.00","55,202,046.34","55,202,046.34","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.37","105.27","516,665.00","54,389,324.55","54,389,324.55","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.37","69.08","775,224.00","53,552,473.92","53,552,473.92","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.36","36.69","1,447,886.00","53,122,937.34","53,122,937.34","Consumer Discretionary","BBM4S68","US90130A1016","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.36","63.25","829,786.00","52,483,964.50","52,483,964.50","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.35","69.43","746,703.00","51,843,589.29","51,843,589.29","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.35","138.86","372,852.00","51,774,228.72","51,774,228.72","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.35","163.33","316,623.00","51,714,034.59","51,714,034.59","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.35","39.01","1,325,646.00","51,713,450.46","51,713,450.46","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.35","62.29","820,425.00","51,104,273.25","51,104,273.25","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"HUM","HUMANA INC","Equity","0.35","268.83","189,145.00","50,847,850.35","50,847,850.35","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.34","104.66","482,175.00","50,464,435.50","50,464,435.50","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.34","99.73","505,049.00","50,368,536.77","50,368,536.77","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.34","21.92","2,249,367.00","49,306,124.64","49,306,124.64","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.33","54.81","893,401.00","48,967,308.81","48,967,308.81","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.33","79.91","604,703.00","48,321,816.73","48,321,816.73","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.33","153.50","313,431.00","48,111,658.50","48,111,658.50","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.33","73.11","651,654.00","47,642,423.94","47,642,423.94","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.32","75.39","629,814.00","47,481,677.46","47,481,677.46","Health Care","2369174","US3755581036","NASDAQ"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.32","105.68","444,439.00","46,968,313.52","46,968,313.52","Materials","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.32","43.76","1,070,612.00","46,849,981.12","46,849,981.12","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.32","68.59","675,850.00","46,356,551.50","46,356,551.50","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.31","71.68","637,286.00","45,680,660.48","45,680,660.48","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"APC","ANADARKO PETROLEUM CORP","Equity","0.31","60.41","751,632.00","45,406,089.12","45,406,089.12","Energy","2032380","US0325111070","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.31","35.24","1,272,200.00","44,832,328.00","44,832,328.00","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.30","337.93","129,680.00","43,822,762.40","43,822,762.40","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.30","68.04","643,291.00","43,769,519.64","43,769,519.64","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.29","220.90","190,027.00","41,976,964.30","41,976,964.30","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.27","57.89","694,980.00","40,232,392.20","40,232,392.20","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"PXD","PIONEER NATURAL RESOURCE","Equity","0.27","171.78","233,932.00","40,184,838.96","40,184,838.96","Energy","2690830","US7237871071","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.27","77.37","516,523.00","39,963,384.51","39,963,384.51","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.27","140.87","283,448.00","39,929,319.76","39,929,319.76","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.27","59.96","659,587.00","39,548,836.52","39,548,836.52","Consumer Staples","2868165","US8718291078","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.27","15.06","2,606,175.00","39,248,995.50","39,248,995.50","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.27","66.44","588,357.00","39,090,439.08","39,090,439.08","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.27","81.56","478,841.00","39,054,271.96","39,054,271.96","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.27","111.22","350,738.00","39,009,080.36","39,009,080.36","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.26","184.36","206,294.00","38,032,361.84","38,032,361.84","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.26","169.00","224,561.00","37,950,809.00","37,950,809.00","Health Care","2695921","US00817Y1082","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.26","541.72","69,699.00","37,757,342.28","37,757,342.28","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.26","17.54","2,152,570.00","37,756,077.80","37,756,077.80","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.26","92.27","408,762.00","37,716,469.74","37,716,469.74","Information Technology","2954699","US9581021055","NASDAQ"
"D","DOMINION ENERGY INC","Equity","0.26","67.43","554,889.00","37,416,165.27","37,416,165.27","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.25","93.28","395,864.00","36,926,193.92","36,926,193.92","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.25","219.70","165,344.00","36,326,076.80","36,326,076.80","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.25","35.00","1,037,429.00","36,310,015.00","36,310,015.00","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.24","68.30","514,512.00","35,141,169.60","35,141,169.60","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.24","71.93","487,326.00","35,053,359.18","35,053,359.18","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.24","240.11","145,572.00","34,953,292.92","34,953,292.92","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.24","50.24","693,395.00","34,836,164.80","34,836,164.80","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"CMI","CUMMINS INC","Equity","0.24","162.09","213,943.00","34,678,020.87","34,678,020.87","Industrials","2240202","US2310211063","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.23","116.69","290,600.00","33,910,114.00","33,910,114.00","Materials","2654320","US61166W1018","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.23","154.35","217,908.00","33,634,099.80","33,634,099.80","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.23","215.82","154,571.00","33,359,513.22","33,359,513.22","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"ADM","ARCHER DANIELS MIDLAND","Equity","0.23","43.37","768,237.00","33,318,438.69","33,318,438.69","Consumer Staples","2047317","US0394831020","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","0.23","77.94","426,383.00","33,232,291.02","33,232,291.02","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.22","33.53","981,357.00","32,904,900.21","32,904,900.21","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"FCX","FREEPORT MCMORAN INC","Equity","0.22","17.57","1,849,672.00","32,498,737.04","32,498,737.04","Materials","2352118","US35671D8570","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","0.22","56.92","564,093.00","32,108,173.56","32,108,173.56","Energy","2130109","US6826801036","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.22","87.75","364,829.00","32,013,744.75","32,013,744.75","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.22","66.17","483,534.00","31,995,444.78","31,995,444.78","Industrials","2665861","US6937181088","NASDAQ"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.22","206.46","154,466.00","31,891,050.36","31,891,050.36","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.22","45.48","697,933.00","31,741,992.84","31,741,992.84","Utilities","2614807","US98389B1008","NASDAQ"
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.21","61.62","505,755.00","31,164,623.10","31,164,623.10","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.21","155.32","200,021.00","31,067,261.72","31,067,261.72","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.21","43.93","706,743.00","31,047,219.99","31,047,219.99","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"CXO","CONCHO RESOURCES INC","Equity","0.21","150.33","204,557.00","30,751,053.81","30,751,053.81","Energy","B1YWRK7","US20605P1012","New York Stock Exchange Inc."
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.21","159.03","192,348.00","30,589,102.44","30,589,102.44","Materials","2011602","US0091581068","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.21","53.43","567,257.00","30,308,541.51","30,308,541.51","Materials","2465254","US4601461035","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.21","31.75","952,344.00","30,236,922.00","30,236,922.00","Financials","2336747","US3167731005","NASDAQ"
"TSN","TYSON FOODS INC CLASS A","Equity","0.20","73.19","408,815.00","29,921,169.85","29,921,169.85","Consumer Staples","2909730","US9024941034","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.20","110.13","269,796.00","29,712,633.48","29,712,633.48","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"MYL","MYLAN NV","Equity","0.20","41.17","709,752.00","29,220,489.84","29,220,489.84","Health Care","BVFMFG8","NL0011031208","NASDAQ"
"NSC","NORFOLK SOUTHERN CORP","Equity","0.20","135.78","214,728.00","29,155,767.84","29,155,767.84","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"KR","KROGER","Equity","0.20","23.94","1,209,717.00","28,960,624.98","28,960,624.98","Consumer Staples","2497406","US5010441013","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","0.20","39.07","732,837.00","28,631,941.59","28,631,941.59","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.20","18.58","1,540,156.00","28,616,098.48","28,616,098.48","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","0.19","63.66","447,559.00","28,491,605.94","28,491,605.94","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"KEY","KEYCORP","Equity","0.19","19.55","1,455,508.00","28,455,181.40","28,455,181.40","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"WMB","WILLIAMS INC","Equity","0.19","24.86","1,136,481.00","28,252,917.66","28,252,917.66","Energy","2967181","US9694571004","New York Stock Exchange Inc."
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.19","41.98","671,828.00","28,203,339.44","28,203,339.44","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
