iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 28, 2017"
Total Net Assets,"13,597,286,152.59"
Shares Outstanding,"130,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"XOM","EXXON MOBIL CORP","Equity","3.65","81.65","6,073,307.00","495,885,516.55","495,885,516.55","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.38","165.21","2,781,855.00","459,590,264.55","459,590,264.55","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.35","87.00","5,231,776.00","455,164,512.00","455,164,512.00","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.62","39.63","8,995,422.00","356,488,573.86","356,488,573.86","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.61","53.84","6,595,494.00","355,101,396.96","355,101,396.96","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.52","23.34","14,683,576.00","342,714,663.84","342,714,663.84","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.18","106.70","2,772,787.00","295,856,372.90","295,856,372.90","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.84","34.07","7,334,897.00","249,899,940.79","249,899,940.79","Information Technology","2198163","US17275R1023","NASDAQ"
"C","CITIGROUP INC","Equity","1.76","59.12","4,058,200.00","239,920,784.00","239,920,784.00","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.44","28.99","6,772,871.00","196,345,530.29","196,345,530.29","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
