iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 31, 2017"
Total Net Assets,"13,335,002,238.69"
Shares Outstanding,"128,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"XOM","EXXON MOBIL CORP","Equity","3.62","80.50","5,911,804.00","475,900,222.00","475,900,222.00","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.40","165.28","2,707,866.00","447,556,092.48","447,556,092.48","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.18","82.15","5,092,691.00","418,364,565.65","418,364,565.65","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.56","38.53","8,756,257.00","337,378,582.21","337,378,582.21","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.49","51.14","6,420,106.00","328,324,220.84","328,324,220.84","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.43","22.41","14,293,176.00","320,310,074.16","320,310,074.16","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.12","103.48","2,699,080.00","279,300,798.40","279,300,798.40","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","1.82","60.54","3,950,273.00","239,149,527.42","239,149,527.42","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.71","31.53","7,139,871.00","225,120,132.63","225,120,132.63","Information Technology","2198163","US17275R1023","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.47","128.25","1,508,704.00","193,491,288.00","193,491,288.00","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.37","27.38","6,592,765.00","180,509,905.70","180,509,905.70","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.28","78.60","2,146,958.00","168,750,898.80","168,750,898.80","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","1.25","84.28","1,951,674.00","164,487,084.72","164,487,084.72","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.24","88.09","1,858,847.00","163,745,832.23","163,745,832.23","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.98","121.28","1,068,485.00","129,585,860.80","129,585,860.80","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.97","46.64","2,731,502.00","127,397,253.28","127,397,253.28","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.96","36.11","3,505,292.00","126,576,094.12","126,576,094.12","Information Technology","2463247","US4581401001","NASDAQ"
"KO","COCA-COLA","Equity","0.93","45.47","2,699,540.00","122,748,083.80","122,748,083.80","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
