iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jun 30, 2017"
Total Net Assets,"13,384,182,070.92"
Shares Outstanding,"127,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"XOM","EXXON MOBIL CORP","Equity","3.67","80.73","6,085,798.00","491,306,472.54","491,306,472.54","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.48","91.40","5,102,738.00","466,390,253.20","466,390,253.20","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.45","169.37","2,728,150.00","462,066,765.50","462,066,765.50","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.67","55.41","6,459,681.00","357,930,924.21","357,930,924.21","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.59","24.26","14,293,470.00","346,759,582.20","346,759,582.20","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.49","37.73","8,830,097.00","333,159,559.81","333,159,559.81","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.12","104.33","2,721,066.00","283,888,815.78","283,888,815.78","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","1.97","66.88","3,954,386.00","264,469,335.68","264,469,335.68","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.68","31.30","7,181,355.00","224,776,411.50","224,776,411.50","Information Technology","2198163","US17275R1023","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.49","132.29","1,508,922.00","199,615,291.38","199,615,291.38","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.34","27.01","6,629,208.00","179,054,908.08","179,054,908.08","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","1.30","88.75","1,966,064.00","174,488,180.00","174,488,180.00","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.22","87.15","1,873,427.00","163,269,163.05","163,269,163.05","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.20","75.68","2,121,497.00","160,554,892.96","160,554,892.96","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.98","122.11","1,070,210.00","130,683,343.10","130,683,343.10","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.95","33.59","3,771,395.00","126,681,158.05","126,681,158.05","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.92","44.66","2,753,735.00","122,981,805.10","122,981,805.10","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.91","44.85","2,706,187.00","121,372,486.95","121,372,486.95","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.90","48.61","2,492,297.00","121,150,557.17","121,150,557.17","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.89","33.74","3,516,928.00","118,661,150.72","118,661,150.72","Information Technology","2463247","US4581401001","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.88","117.45","1,003,816.00","117,898,189.20","117,898,189.20","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.88","80.46","1,463,248.00","117,732,934.08","117,732,934.08","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.88","243.09","482,391.00","117,264,428.19","117,264,428.19","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.87","221.90","525,779.00","116,670,360.10","116,670,360.10","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.78","115.49","902,747.00","104,258,251.03","104,258,251.03","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"DOW","DOW CHEMICAL","Equity","0.76","63.07","1,614,307.00","101,814,342.49","101,814,342.49","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.75","159.93","629,933.00","100,745,184.69","100,745,184.69","Consumer Staples","2701271","US22160K1051","NASDAQ"
"CB","CHUBB LTD","Equity","0.73","145.38","670,625.00","97,495,462.50","97,495,462.50","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.72","78.31","1,226,495.00","96,046,823.45","96,046,823.45","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"MRK","MERCK & CO INC","Equity","0.71","64.09","1,492,791.00","95,672,975.19","95,672,975.19","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.70","43.19","2,179,200.00","94,119,648.00","94,119,648.00","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"MS","MORGAN STANLEY","Equity","0.68","44.56","2,045,706.00","91,156,659.36","91,156,659.36","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.68","106.25","856,652.00","91,019,275.00","91,019,275.00","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.68","50.14","1,811,924.00","90,849,869.36","90,849,869.36","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.65","124.87","695,004.00","86,785,149.48","86,785,149.48","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.64","54.94","1,551,798.00","85,255,782.12","85,255,782.12","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.63","83.59","1,005,213.00","84,025,754.67","84,025,754.67","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.61","172.23","475,613.00","81,914,826.99","81,914,826.99","Health Care","2023607","US0311621009","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.61","153.83","528,004.00","81,222,855.32","81,222,855.32","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.59","62.52","1,263,162.00","78,972,888.24","78,972,888.24","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.58","43.96","1,776,796.00","78,107,952.16","78,107,952.16","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
