iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"13,566,264,940.02"
Shares Outstanding,"127,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"XOM","EXXON MOBIL CORP","Equity","3.60","80.04","6,096,415.00","487,957,056.60","487,957,056.60","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.52","174.97","2,732,911.00","478,177,437.67","478,177,437.67","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.46","91.80","5,111,637.00","469,248,276.60","469,248,276.60","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.57","53.94","6,470,953.00","349,043,204.82","349,043,204.82","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.54","24.12","14,318,409.00","345,360,025.08","345,360,025.08","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.54","39.00","8,845,508.00","344,974,812.00","344,974,812.00","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.19","109.19","2,725,814.00","297,631,630.66","297,631,630.66","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","2.00","68.45","3,961,281.00","271,149,684.45","271,149,684.45","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.67","31.45","7,193,886.00","226,247,714.70","226,247,714.70","Information Technology","2198163","US17275R1023","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.48","132.72","1,511,554.00","200,613,446.88","200,613,446.88","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.26","90.82","1,876,695.00","170,441,439.90","170,441,439.90","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.25","25.61","6,640,774.00","170,070,222.14","170,070,222.14","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.25","79.99","2,125,202.00","169,994,907.98","169,994,907.98","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","1.22","83.97","1,969,499.00","165,378,831.03","165,378,831.03","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.98","48.40","2,758,544.00","133,513,529.60","133,513,529.60","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.94","118.57","1,072,083.00","127,116,881.31","127,116,881.31","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.92","33.16","3,777,974.00","125,277,617.84","125,277,617.84","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.92","35.47","3,523,067.00","124,963,186.49","124,963,186.49","Information Technology","2463247","US4581401001","NASDAQ"
"KO","COCA-COLA","Equity","0.92","45.84","2,710,911.00","124,268,160.24","124,268,160.24","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.90","49.18","2,496,641.00","122,784,804.38","122,784,804.38","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.90","252.33","483,234.00","121,934,435.22","121,934,435.22","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.87","225.33","526,699.00","118,681,085.67","118,681,085.67","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.86","116.71","1,005,572.00","117,360,308.12","117,360,308.12","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.86","79.93","1,465,801.00","117,161,473.93","117,161,473.93","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.78","116.61","904,322.00","105,452,988.42","105,452,988.42","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"DOW","DOW CHEMICAL","Equity","0.77","64.24","1,617,120.00","103,883,788.80","103,883,788.80","Materials","2278719","US2605431038","New York Stock Exchange Inc."
