iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"13,454,436,535.97"
Shares Outstanding,"127,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.70","181.16","2,739,935.00","496,366,624.60","496,366,624.60","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","3.47","76.33","6,112,086.00","466,535,524.38","466,535,524.38","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.47","90.89","5,124,777.00","465,790,981.53","465,790,981.53","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.55","23.89","14,355,215.00","342,946,086.35","342,946,086.35","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.47","37.46","8,868,243.00","332,204,382.78","332,204,382.78","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.47","51.07","6,487,588.00","331,321,119.16","331,321,119.16","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.19","107.62","2,732,822.00","294,106,303.64","294,106,303.64","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","2.01","68.03","3,971,464.00","270,178,695.92","270,178,695.92","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.73","32.21","7,212,377.00","232,310,663.17","232,310,663.17","Information Technology","2198163","US17275R1023","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.49","132.37","1,515,441.00","200,598,925.17","200,598,925.17","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.29","92.27","1,881,520.00","173,607,850.40","173,607,850.40","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.24","78.07","2,130,664.00","166,340,938.48","166,340,938.48","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.22","24.55","6,657,844.00","163,450,070.20","163,450,070.20","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"DOW","DOW CHEMICAL","Equity","1.20","66.65","2,426,457.00","161,723,359.05","161,723,359.05","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","1.19","80.62","1,974,562.00","159,189,188.44","159,189,188.44","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.99","47.97","2,765,633.00","132,667,415.01","132,667,415.01","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.96","119.72","1,074,838.00","128,679,605.36","128,679,605.36","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.96","33.92","3,787,685.00","128,478,275.20","128,478,275.20","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.95","50.94","2,503,060.00","127,505,876.40","127,505,876.40","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.92","35.07","3,532,123.00","123,871,553.61","123,871,553.61","Information Technology","2463247","US4581401001","NASDAQ"
"KO","COCA-COLA","Equity","0.92","45.55","2,717,881.00","123,799,479.55","123,799,479.55","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.88","223.74","528,051.00","118,146,130.74","118,146,130.74","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.88","116.93","1,008,156.00","117,883,681.08","117,883,681.08","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.85","77.34","1,469,571.00","113,656,621.14","113,656,621.14","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.83","229.48","484,475.00","111,177,323.00","111,177,323.00","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.78","115.73","906,644.00","104,925,910.12","104,925,910.12","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.75","81.50","1,231,790.00","100,390,885.00","100,390,885.00","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"COST","COSTCO WHOLESALE CORP","Equity","0.74","156.74","632,653.00","99,162,031.22","99,162,031.22","Consumer Staples","2701271","US22160K1051","NASDAQ"
"MRK","MERCK & CO INC","Equity","0.71","63.86","1,499,239.00","95,741,402.54","95,741,402.54","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.71","141.42","673,521.00","95,249,339.82","95,249,339.82","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.70","45.50","2,054,542.00","93,481,661.00","93,481,661.00","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.68","50.33","1,819,753.00","91,588,168.49","91,588,168.49","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.66","40.66","2,188,613.00","88,989,004.58","88,989,004.58","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"DUK","DUKE ENERGY CORP","Equity","0.66","87.30","1,009,555.00","88,134,151.50","88,134,151.50","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.65","125.41","698,008.00","87,537,183.28","87,537,183.28","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.65","101.20","860,351.00","87,067,521.20","87,067,521.20","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.63","177.77","477,671.00","84,915,573.67","84,915,573.67","Health Care","2023607","US0311621009","NASDAQ"
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.58","52.28","1,499,981.00","78,419,006.68","78,419,006.68","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.58","43.66","1,784,473.00","77,910,091.18","77,910,091.18","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.57","60.48","1,268,620.00","76,726,137.60","76,726,137.60","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.56","143.03","530,285.00","75,846,663.55","75,846,663.55","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.56","196.04","382,232.00","74,932,761.28","74,932,761.28","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.54","46.83","1,558,503.00","72,984,695.49","72,984,695.49","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.54","36.54","1,980,859.00","72,380,587.86","72,380,587.86","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.53","159.97","446,768.00","71,469,476.96","71,469,476.96","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.52","63.51","1,102,346.00","70,009,994.46","70,009,994.46","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
