iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"13,917,324,323.52"
Shares Outstanding,"128,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.68","183.32","2,791,011.00","511,648,136.52","511,648,136.52","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","3.62","81.98","6,146,207.00","503,866,049.86","503,866,049.86","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.50","95.51","5,104,301.00","487,511,788.51","487,511,788.51","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.59","25.34","14,232,491.00","360,651,321.94","360,651,321.94","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.57","55.15","6,480,241.00","357,385,291.15","357,385,291.15","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.51","39.17","8,906,145.00","348,853,699.65","348,853,699.65","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.32","117.50","2,748,727.00","322,975,422.50","322,975,422.50","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","2.07","72.74","3,952,000.00","287,468,480.00","287,468,480.00","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.75","33.63","7,252,640.00","243,906,283.20","243,906,283.20","Information Technology","2198163","US17275R1023","NASDAQ"
"DWDP","DOWDUPONT INC","Equity","1.68","69.23","3,384,389.00","234,301,250.47","234,301,250.47","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.42","130.01","1,518,341.00","197,399,513.41","197,399,513.41","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.23","90.98","1,886,399.00","171,624,581.02","171,624,581.02","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.19","78.14","2,123,155.00","165,903,331.70","165,903,331.70","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.16","24.18","6,655,985.00","160,941,717.30","160,941,717.30","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","1.10","77.77","1,964,853.00","152,806,617.81","152,806,617.81","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.99","49.49","2,781,070.00","137,635,154.30","137,635,154.30","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.98","35.70","3,808,832.00","135,975,302.40","135,975,302.40","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.97","38.08","3,544,296.00","134,966,791.68","134,966,791.68","Information Technology","2463247","US4581401001","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.97","53.36","2,520,182.00","134,476,911.52","134,476,911.52","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.90","116.08","1,077,528.00","125,079,450.24","125,079,450.24","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.89","237.19","521,883.00","123,785,428.77","123,785,428.77","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.88","45.01","2,728,414.00","122,805,914.14","122,805,914.14","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.86","81.32","1,474,542.00","119,909,755.44","119,909,755.44","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.81","111.01","1,013,783.00","112,540,050.83","112,540,050.83","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.75","164.29","636,187.00","104,519,162.23","104,519,162.23","Consumer Staples","2701271","US22160K1051","NASDAQ"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.74","77.22","1,334,885.00","103,079,819.70","103,079,819.70","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"PEP","PEPSICO INC","Equity","0.73","111.43","911,710.00","101,591,845.30","101,591,845.30","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.71","204.95","484,915.00","99,383,329.25","99,383,329.25","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.71","48.17","2,051,265.00","98,809,435.05","98,809,435.05","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.69","64.03","1,507,612.00","96,532,396.36","96,532,396.36","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.69","142.55","675,094.00","96,234,649.70","96,234,649.70","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.67","134.77","695,100.00","93,678,627.00","93,678,627.00","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.65","98.57","917,925.00","90,479,867.25","90,479,867.25","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.64","48.35","1,839,692.00","88,949,108.20","88,949,108.20","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.64","40.66","2,186,851.00","88,917,361.66","88,917,361.66","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"AMGN","AMGEN INC","Equity","0.64","186.45","476,284.00","88,803,151.80","88,803,151.80","Health Care","2023607","US0311621009","NASDAQ"
"COP","CONOCOPHILLIPS","Equity","0.63","50.05","1,765,196.00","88,348,059.80","88,348,059.80","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.61","83.92","1,015,194.00","85,195,080.48","85,195,080.48","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.58","61.39","1,310,401.00","80,445,517.39","80,445,517.39","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.58","51.95","1,541,707.00","80,091,678.65","80,091,678.65","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.57","53.02","1,498,605.00","79,456,037.10","79,456,037.10","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.56","145.08","540,584.00","78,427,926.72","78,427,926.72","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.56","69.76","1,108,501.00","77,329,029.76","77,329,029.76","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.55","40.38","1,902,332.00","76,816,166.16","76,816,166.16","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.52","189.88","380,886.00","72,322,633.68","72,322,633.68","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.51","49.14","1,449,749.00","71,240,665.86","71,240,665.86","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.50","156.68","446,465.00","69,952,136.20","69,952,136.20","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.49","186.94","365,210.00","68,272,357.40","68,272,357.40","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.49","63.74","1,070,430.00","68,229,208.20","68,229,208.20","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.49","11.97","5,673,152.00","67,907,629.44","67,907,629.44","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.49","254.21","265,956.00","67,608,674.76","67,608,674.76","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.48","85.54","787,000.00","67,319,980.00","67,319,980.00","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.48","77.55","865,875.00","67,148,606.25","67,148,606.25","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.47","106.32","619,368.00","65,851,205.76","65,851,205.76","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.46","141.74","453,372.00","64,260,947.28","64,260,947.28","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","0.46","39.33","1,615,970.00","63,556,100.10","63,556,100.10","Information Technology","2588184","US5951121038","NASDAQ"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.43","84.66","701,602.00","59,397,625.32","59,397,625.32","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"MMM","3M","Equity","0.42","209.90","276,995.00","58,141,250.50","58,141,250.50","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.41","91.61","623,243.00","57,095,291.23","57,095,291.23","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.40","132.24","418,011.00","55,277,774.64","55,277,774.64","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.40","46.94","1,172,145.00","55,020,486.30","55,020,486.30","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.39","40.29","1,352,453.00","54,490,331.37","54,490,331.37","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.39","53.59","1,014,222.00","54,352,156.98","54,352,156.98","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.38","19.18","2,784,841.00","53,413,250.38","53,413,250.38","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.38","63.32","837,744.00","53,045,950.08","53,045,950.08","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"EXC","EXELON CORP","Equity","0.38","37.67","1,392,620.00","52,459,995.40","52,459,995.40","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.37","95.54","542,424.00","51,823,188.96","51,823,188.96","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.37","124.71","411,466.00","51,313,924.86","51,313,924.86","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.36","146.55","346,327.00","50,754,221.85","50,754,221.85","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.36","68.09","743,851.00","50,648,814.59","50,648,814.59","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.36","70.24","713,423.00","50,110,831.52","50,110,831.52","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
