iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"14,277,776,816.64"
Shares Outstanding,"130,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.71","186.94","2,831,045.00","529,235,552.30","529,235,552.30","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.65","100.61","5,177,524.00","520,910,689.64","520,910,689.64","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","3.64","83.35","6,234,378.00","519,635,406.30","519,635,406.30","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.77","27.39","14,436,694.00","395,421,048.66","395,421,048.66","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.58","56.14","6,573,222.00","369,020,683.08","369,020,683.08","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.26","115.89","2,788,169.00","323,120,905.41","323,120,905.41","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.13","33.65","9,033,906.00","303,990,936.90","303,990,936.90","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","2.06","73.50","4,008,684.00","294,638,274.00","294,638,274.00","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.76","34.15","7,356,684.00","251,230,758.60","251,230,758.60","Information Technology","2198163","US17275R1023","NASDAQ"
"DWDP","DOWDUPONT INC","Equity","1.74","72.31","3,432,933.00","248,235,385.23","248,235,385.23","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.50","139.41","1,540,134.00","214,710,080.94","214,710,080.94","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.32","87.31","2,153,606.00","188,031,339.86","188,031,339.86","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.16","86.34","1,913,446.00","165,206,927.64","165,206,927.64","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","1.15","45.49","3,595,134.00","163,542,645.66","163,542,645.66","Information Technology","2463247","US4581401001","NASDAQ"
"MDT","MEDTRONIC PLC","Equity","1.12","80.52","1,993,047.00","160,480,144.44","160,480,144.44","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.97","54.23","2,556,331.00","138,629,830.13","138,629,830.13","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.95","20.16","6,751,482.00","136,109,877.12","136,109,877.12","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.95","35.06","3,863,481.00","135,453,643.86","135,453,643.86","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.95","47.87","2,820,956.00","135,039,163.72","135,039,163.72","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.92","119.76","1,092,994.00","130,896,961.44","130,896,961.44","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
