iShares S&P 500 Value ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"14,877,307,828.76"
Shares Outstanding,"131,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","3.71","193.01","2,860,695.00","552,142,741.95","552,142,741.95","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","3.67","104.52","5,231,750.00","546,822,510.00","546,822,510.00","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","3.53","83.29","6,299,675.00","524,699,930.75","524,699,930.75","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","2.76","28.17","14,587,869.00","410,940,269.73","410,940,269.73","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","2.52","56.47","6,642,051.00","375,076,619.97","375,076,619.97","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","2.25","118.99","2,817,361.00","335,237,785.39","335,237,785.39","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","2.23","36.38","9,128,522.00","332,095,630.36","332,095,630.36","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","2.05","75.50","4,050,693.00","305,827,321.50","305,827,321.50","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","1.86","37.30","7,433,738.00","277,278,427.40","277,278,427.40","Information Technology","2198163","US17275R1023","NASDAQ"
"DWDP","DOWDUPONT INC","Equity","1.68","71.96","3,468,899.00","249,621,972.04","249,621,972.04","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.46","139.33","1,556,252.00","216,832,591.16","216,832,591.16","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","1.42","97.23","2,176,173.00","211,589,300.79","211,589,300.79","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.17","89.99","1,933,506.00","173,996,204.94","173,996,204.94","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","1.11","82.13","2,013,904.00","165,401,935.52","165,401,935.52","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","1.09","44.84","3,632,796.00","162,894,572.64","162,894,572.64","Information Technology","2463247","US4581401001","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.98","56.37","2,583,107.00","145,609,741.59","145,609,741.59","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.97","50.89","2,850,524.00","145,063,166.36","145,063,166.36","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.95","36.26","3,903,938.00","141,556,791.88","141,556,791.88","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.90","121.45","1,104,439.00","134,134,116.55","134,134,116.55","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.89","247.64","534,921.00","132,467,836.44","132,467,836.44","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.86","45.77","2,796,538.00","127,997,544.26","127,997,544.26","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.84","18.29","6,822,179.00","124,777,653.91","124,777,653.91","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.81","184.43","652,066.00","120,260,532.38","120,260,532.38","Consumer Staples","2701271","US22160K1051","NASDAQ"
"CVS","CVS HEALTH CORP","Equity","0.78","76.60","1,511,361.00","115,770,252.60","115,770,252.60","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.73","116.52","934,466.00","108,883,978.32","108,883,978.32","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.73","51.61","2,102,487.00","108,509,354.07","108,509,354.07","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.72","102.75","1,039,100.00","106,767,525.00","106,767,525.00","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.71","152.11","691,942.00","105,251,297.62","105,251,297.62","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.67","140.56","712,450.00","100,141,972.00","100,141,972.00","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.66","104.82","940,851.00","98,620,001.82","98,620,001.82","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.65","42.94","2,241,462.00","96,248,378.28","96,248,378.28","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.63","72.76","1,290,792.00","93,918,025.92","93,918,025.92","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"DUK","DUKE ENERGY CORP","Equity","0.62","89.18","1,040,530.00","92,794,465.40","92,794,465.40","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.62","49.06","1,885,636.00","92,509,302.16","92,509,302.16","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.62","50.88","1,809,279.00","92,056,115.52","92,056,115.52","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.62","234.96","390,393.00","91,726,739.28","91,726,739.28","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.58","173.83","497,015.00","86,396,117.45","86,396,117.45","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.58","175.66","488,173.00","85,752,469.18","85,752,469.18","Health Care","2023607","US0311621009","NASDAQ"
"MRK","MERCK & CO INC","Equity","0.57","55.27","1,545,258.00","85,406,409.66","85,406,409.66","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.57","153.97","554,078.00","85,311,389.66","85,311,389.66","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.57","53.68","1,580,200.00","84,825,136.00","84,825,136.00","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.56","54.74","1,536,020.00","84,081,734.80","84,081,734.80","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.56","43.09","1,949,826.00","84,018,002.34","84,018,002.34","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.54","59.96","1,343,119.00","80,533,415.24","80,533,415.24","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.53","211.73","374,328.00","79,256,467.44","79,256,467.44","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.53","171.97","457,604.00","78,694,159.88","78,694,159.88","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.51","51.20","1,485,943.00","76,080,281.60","76,080,281.60","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.51","276.80","272,591.00","75,453,188.80","75,453,188.80","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.49","115.84","634,842.00","73,540,097.28","73,540,097.28","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.49","12.52","5,814,801.00","72,801,308.52","72,801,308.52","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.49","155.96","464,740.00","72,480,850.40","72,480,850.40","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.49","81.37","887,533.00","72,218,560.21","72,218,560.21","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"SLB","SCHLUMBERGER NV","Equity","0.48","62.85","1,136,185.00","71,409,227.25","71,409,227.25","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","0.47","42.39","1,656,320.00","70,211,404.80","70,211,404.80","Information Technology","2588184","US5951121038","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.47","63.19","1,097,235.00","69,334,279.65","69,334,279.65","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"MMM","3M","Equity","0.46","243.14","283,945.00","69,038,387.30","69,038,387.30","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.46","84.64","806,737.00","68,282,219.68","68,282,219.68","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.44","92.00","719,219.00","66,168,148.00","66,168,148.00","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.42","97.56","639,052.00","62,345,913.12","62,345,913.12","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.40","41.71","1,428,015.00","59,562,505.65","59,562,505.65","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.40","141.15","421,955.00","59,558,948.25","59,558,948.25","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.40","138.63","428,652.00","59,424,026.76","59,424,026.76","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.40","49.42","1,201,858.00","59,395,822.36","59,395,822.36","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.39","55.15","1,040,037.00","57,358,040.55","57,358,040.55","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.38","77.63","731,707.00","56,802,414.41","56,802,414.41","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","0.38","85.62","657,043.00","56,256,021.66","56,256,021.66","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","0.38","158.04","355,209.00","56,137,230.36","56,137,230.36","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"ESRX","EXPRESS SCRIPTS HOLDING","Equity","0.38","65.18","859,312.00","56,009,956.16","56,009,956.16","Health Care","B7QQYV9","US30219G1085","NASDAQ"
"TRV","TRAVELERS COMPANIES INC","Equity","0.37","135.57","410,492.00","55,650,400.44","55,650,400.44","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.37","97.71","567,587.00","55,458,925.77","55,458,925.77","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.37","102.66","537,615.00","55,191,555.90","55,191,555.90","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.36","21.45","2,484,858.00","53,300,204.10","53,300,204.10","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.36","95.35","556,382.00","53,051,023.70","53,051,023.70","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.35","52.92","991,188.00","52,453,668.96","52,453,668.96","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.35","37.64","1,386,931.00","52,204,082.84","52,204,082.84","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.35","87.64","588,096.00","51,540,733.44","51,540,733.44","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.35","77.78","661,761.00","51,471,770.58","51,471,770.58","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.34","60.42","840,918.00","50,808,265.56","50,808,265.56","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.34","104.70","482,960.00","50,565,912.00","50,565,912.00","Materials","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.33","17.23","2,856,661.00","49,220,269.03","49,220,269.03","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC","Equity","0.33","65.53","746,007.00","48,885,838.71","48,885,838.71","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.33","59.90","812,771.00","48,684,982.90","48,684,982.90","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.32","62.63","753,467.00","47,189,638.21","47,189,638.21","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.32","501.19","93,824.00","47,023,650.56","47,023,650.56","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.31","126.50","369,373.00","46,725,684.50","46,725,684.50","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.31","147.74","313,011.00","46,244,245.14","46,244,245.14","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.31","53.18","866,267.00","46,068,079.06","46,068,079.06","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.31","70.50","648,733.00","45,735,676.50","45,735,676.50","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.30","120.99","373,745.00","45,219,407.55","45,219,407.55","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.30","192.76","232,339.00","44,785,665.64","44,785,665.64","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"STI","SUNTRUST BANKS INC","Equity","0.30","61.63","714,465.00","44,032,477.95","44,032,477.95","Financials","2860990","US8679141031","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.29","84.13","507,104.00","42,662,659.52","42,662,659.52","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.28","102.32","412,641.00","42,221,427.12","42,221,427.12","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.28","72.45","577,053.00","41,807,489.85","41,807,489.85","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"DLPH","DELPHI AUTOMOTIVE PLC","Equity","0.28","104.67","397,372.00","41,592,927.24","41,592,927.24","Consumer Discretionary","B783TY6","JE00B783TY65","New York Stock Exchange Inc."
"PCG","PG&E CORP","Equity","0.28","54.24","763,390.00","41,406,273.60","41,406,273.60","Utilities","2689560","US69331C1080","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","0.28","89.04","461,333.00","41,077,090.32","41,077,090.32","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"USD","USD CASH","Cash","0.28","100.00","41,057,209.00","41,057,209.00","41,057,209.00","Cash and/or Derivatives","-","-","-"
"DHR","DANAHER CORP","Equity","0.27","94.36","427,872.00","40,374,001.92","40,374,001.92","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.27","35.89","1,113,569.00","39,965,991.41","39,965,991.41","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"CCL","CARNIVAL CORP","Equity","0.27","65.64","607,283.00","39,862,056.12","39,862,056.12","Consumer Discretionary","2523044","PA1436583006","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.27","53.06","750,603.00","39,826,995.18","39,826,995.18","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.27","35.38","1,121,164.00","39,666,782.32","39,666,782.32","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","0.26","81.27","485,219.00","39,433,748.13","39,433,748.13","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","0.26","51.61","753,394.00","38,882,664.34","38,882,664.34","Utilities","2614807","US98389B1008","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.26","168.95","226,259.00","38,226,458.05","38,226,458.05","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.25","83.37","450,931.00","37,594,117.47","37,594,117.47","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.25","36.67","1,017,527.00","37,312,715.09","37,312,715.09","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.24","149.86","242,052.00","36,273,912.72","36,273,912.72","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"VFC","VF CORP","Equity","0.24","72.96","484,748.00","35,367,214.08","35,367,214.08","Consumer Discretionary","2928683","US9182041080","New York Stock Exchange Inc."
"TSN","TYSON FOODS INC CLASS A","Equity","0.24","82.25","429,205.00","35,302,111.25","35,302,111.25","Consumer Staples","2909730","US9024941034","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.23","56.61","612,597.00","34,679,116.17","34,679,116.17","Materials","2465254","US4601461035","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.23","78.86","439,130.00","34,629,791.80","34,629,791.80","Information Technology","2954699","US9581021055","NASDAQ"
"KR","KROGER","Equity","0.23","25.86","1,331,409.00","34,430,236.74","34,430,236.74","Consumer Staples","2497406","US5010441013","New York Stock Exchange Inc."
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.23","13.95","2,442,155.00","34,068,062.25","34,068,062.25","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.22","30.51","1,093,054.00","33,349,077.54","33,349,077.54","Financials","2336747","US3167731005","NASDAQ"
"ADM","ARCHER DANIELS MIDLAND","Equity","0.22","39.88","834,622.00","33,284,725.36","33,284,725.36","Consumer Staples","2047317","US0394831020","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.22","64.82","512,756.00","33,236,843.92","33,236,843.92","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"AAL","AMERICAN AIRLINES GROUP INC","Equity","0.22","50.49","643,105.00","32,470,371.45","32,470,371.45","Industrials","BCV7KT2","US02376R1023","NASDAQ"
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.22","160.80","199,218.00","32,034,254.40","32,034,254.40","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"EBAY","EBAY INC","Equity","0.21","34.67","900,919.00","31,234,861.73","31,234,861.73","Information Technology","2293819","US2786421030","NASDAQ"
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.21","57.44","540,518.00","31,047,353.92","31,047,353.92","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","0.21","115.57","266,163.00","30,760,457.91","30,760,457.91","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","0.20","64.85","470,147.00","30,489,032.95","30,489,032.95","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.20","119.76","251,588.00","30,130,178.88","30,130,178.88","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.20","16.59","1,773,126.00","29,416,160.34","29,416,160.34","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
